"Features","Importance","Gene_Symbol"
"229892_at",0.00183661843433319,"EP400P1"
"229036_at",0.00179122436405347,"TNRC6B"
"211799_x_at",0.00179004568136796,"HLA-C"
"223768_at",0.00177722864277561,"SSR4P1"
"206258_at",0.00177228796933519,"ST8SIA5"
"201985_at",0.0017527864086584,"WASHC5"
"228946_at",0.00172762496943014,"INTU"
"212474_at",0.00172682548916454,"AVL9"
"200694_s_at",0.0017216463966643,"DDX24"
"201137_s_at",0.00172129641235433,"HLA-DPB1"
"213046_at",0.001691511699765,"PABPN1"
"229681_at",0.00167475104507414,NA
"215589_at",0.00165316287474291,NA
"211643_x_at",0.00164011487751419,"IGKC"
"201949_x_at",0.00163020513707359,"CAPZB"
"222907_x_at",0.00162705061194974,"TMEM50B"
"220799_at",0.00161996910286642,"GCM2"
"203482_at",0.00160136701558454,"SLF2"
"1560959_a_at",0.00158591160551546,NA
"1556851_at",0.00154017104693801,NA
"220637_at",0.0015134530122147,"FAM124B"
"232979_at",0.00151084278262638,"HOXB3"
"202771_at",0.00149517453368166,"PIEZO1"
"229114_at",0.00148730490129892,"GAB1"
"237461_at",0.00146329388547726,"NLRP7"
"220742_s_at",0.0014515145068425,"NGLY1"
"209051_s_at",0.0014468965837466,"RALGDS"
"206394_at",0.00144402092118526,"MYBPC2"
"215535_s_at",0.00144123897960023,"AGPAT1"
"1563373_at",0.00143769597060316,"LINC01220"
"239610_at",0.00142243256477455,NA
"217803_at",0.00141602807661955,"GOLPH3"
"225006_x_at",0.00140736445089052,"NELFCD"
"215090_x_at",0.00140466881558704,"NPEPPSP1"
"202371_at",0.00137163463601211,"TCEAL4"
"224252_s_at",0.00136824262830679,"FXYD5"
"212642_s_at",0.00135990384559137,"HIVEP2"
"244696_at",0.00135696701679467,NA
"241949_at",0.00135223080912577,"ACOT6"
"220501_at",0.00134019916739233,"ACTL7A"
"217658_at",0.00133622861155601,"THAP3"
"203393_at",0.00133513857504762,"HES1"
"232007_at",0.0013334802140512,"AGPAT5"
"1563467_at",0.00133202382015799,NA
"207198_s_at",0.00132715284959677,"LIMS1"
"203549_s_at",0.00131357486441906,"LPL"
"230018_at",0.0012911101573016,"DPP9"
"224585_x_at",0.00127946006234963,"ACTG1"
"1553027_a_at",0.00127160761385483,"KLHL4"
"200844_s_at",0.00126461499609134,"PRDX6"
"1555858_at",0.00124284845220124,"THUMPD3-AS1"
"226366_at",0.0012404294326766,"SHPRH"
"65521_at",0.0012264980478028,"UBE2D4"
"204014_at",0.0012182894502481,"DUSP4"
"201371_s_at",0.00118268823294508,"CUL3"
"231893_at",0.00116542783620023,"KIAA1755"
"220193_at",0.00115352788792644,"SH3D21"
"223621_at",0.00115334406758954,"PNMA3"
"232693_s_at",0.00115132511631501,NA
"240627_x_at",0.00115121726556574,"MSANTD4"
"213603_s_at",0.00113881482076241,"RAC2"
"223866_at",0.00113614882253607,"ARMC2"
"233877_at",0.00112608880847644,NA
"47608_at",0.00112227383109868,"TJAP1"
"242133_s_at",0.00111884907357782,"LINC02802"
"215285_s_at",0.00111624118062027,"PHTF1"
"211392_s_at",0.00110777432706109,"PATZ1"
"209184_s_at",0.00110417422543952,"IRS2"
"205414_s_at",0.00110156751662342,"ARHGAP44"
"243207_at",0.00109917056465552,NA
"219750_at",0.00108608559255524,"TMEM144"
"226387_at",0.0010777718505153,"RSBN1L"
"1567679_at",0.00106528235164857,"SNORA74A"
"1569439_at",0.00105566394204785,NA
"239638_at",0.00105351439245011,NA
"212329_at",0.00105053057398788,"SCAP"
"238994_at",0.00104996183220535,"OTUD7B"
"208746_x_at",0.00104988126010462,"ATP5MG"
"229441_at",0.00104813417716585,"PRSS23"
"1553082_at",0.00104352443698268,"CRYGN"
"1553625_at",0.00104254430479078,"FAM98B"
"209690_s_at",0.00103787824996093,"DOK4"
"201991_s_at",0.00103664558603645,"KIF5B"
"222358_x_at",0.00103004242505588,NA
